,bnf_codes,bnf_names,web_sites_description,web_sites
0,084.11,"Agriculture, sylviculture, pêche, élevage","['Abiosol', 'AFPF', 'Agence Bio', 'Agreste', ""Association\xa0française de l'agroforesterie"", 'FranceAgrimer', ""Chambres d'agriculture France"", 'CNUCED / Commodities', 'La Coopération\xa0agricole', 'Ethic Ocean', 'FADEAR', 'FAOSTAT', ""IDELE -\xa0Institut de l'Elevage"", ""IFCE - Institut français du cheval et de l'équitation"", ""INAO - Institut national de l'origine et de la qualité"", 'RDI -\xa0Répertoire Départ Installation']","['https://devenirpaysan-idf.org/', 'https://afpf-asso.fr/', 'http://www.agencebio.org/', 'https://agreste.agriculture.gouv.fr/agreste-web/', 'https://www.agroforesterie.fr/', 'https://www.franceagrimer.fr/', 'http://www.chambres-agriculture.fr', 'https://unctad.org/fr/node/2890', 'https://www.lacooperationagricole.coop/', 'https://www.ethic-ocean.org', 'https://www.agriculturepaysanne.org/', 'https://www.fao.org/faostat/fr/', 'https://idele.fr/domaines-dexpertise/economie', 'https://www.ifce.fr/', 'https://www.inao.gouv.fr/', 'https://www.repertoireinstallation.com/']"
1,084.111,"Espaces verts, jardineries et animaleries","['FFP - Fédération française du paysage', 'UNEP - Union nationale des entreprises du paysage', ""Valhor, site de l'interprofession française de l'horticulture, de la fleuristerie et du paysage""]","['https://www.f-f-p.org/annuaire/', 'https://www.lesentreprisesdupaysage.fr/', 'http://www.valhor.fr/']"
2,084.12,Industrie et distribution alimentaires,"['Annuaire Rungis', 'CEDUS - Cultures Sucre', 'CTIFL - Centre technique de la filière fruits et légumes', 'Fédération des épiciers de France - Annuaire des épiciers de France', 'Fructidor', ""SIAL Salon international de l'agroalimentaire""]","['https://www.rungisinternational.com/annuaire/', 'https://www.cultures-sucre.com/', 'http://www.ctifl.fr', 'https://www.epiciersdefrance.org/annuaire', 'http://www.fructidor.fr', 'https://www.sialparis.fr/']"
3,084.121,"Boissons, vins et spiritueux","['Fédération française des spiritueux', 'Vinexposium Connect', 'Viniconnect', 'Vitisphère']","['http://www.spiritueux.fr', 'https://vinexposium-connect.com/newfront/community', 'https://www.vitisphere.com/viniconnect-fournisseurs-vigne-vin.html', 'https://www.vitisphere.com/vindexer']"
4,084.13,Industries extractives (hors énergie),"['A3M - Alliance des minerais, minéraux et métaux', 'CNUCED / Commodities', 'Mineral info - Le portail français des ressources minérales non énergétiques', 'USGS / National Minerals Information Center']","['https://www.a3ms.fr/', 'https://unctad.org/fr/node/2890', 'http://www.mineralinfo.fr/', 'https://minerals.usgs.gov/']"
5,084.17,"Industries textiles, habillement, cuir","['Alliance France Cuir', 'FashionNetwork', 'Fédération de la haute couture et de la mode', 'Fédération de la Maille, de la Lingerie et du Balnéaire', 'Fédération française de la chaussure', 'FranceCuir', 'PremièreVision', 'UIT -\xa0Union des industries textiles']","['https://alliancefrancecuir.org/', 'https://fr.fashionnetwork.com/', 'https://www.fhcm.paris/fr/', 'https://www.la-federation.com/', 'http://www.chaussuredefrance.com/', 'http://www.francecuir.fr/', 'https://www.premierevision.com/fr/', 'https://www.textile.fr/']"
6,084.18,"Bijouterie, horlogerie, orfèvrerie","['Francéclat', '', 'FFHBI - Fédération française horlogers bijoutiers indépendants', 'UBH - Union de la Bijouterie Horlogerie', 'UFBJOP - Union Française de la Bijouterie, Joaillerie, Orfèvrerie, des Pierres & des Perles']","['https://www.franceclat.fr/category/actualites/', 'http://www.franceclat.fr', 'https://ffhbi.fr/', 'https://u-b-h.com/', 'https://www.union-bjop.com/']"
7,084.20,Industries du bois (hors meubles),"['Bois international', 'France bois forêt - Interprofession nationale']","['https://www.leboisinternational.com/', 'http://observatoire.franceboisforet.com/']"
8,084.22,"Papier, carton, imprimerie","['CAP', 'Copacel - Union Française des Industries des cartons, papiers et celluloses', 'GraphiLine.com', 'IDEP', ""UNICC - Union nationale des industries de l'Impression et de la Communication""]","['https://www.cap-fede.fr/', 'http://www.copacel.fr/', 'https://www.graphiline.com/', 'http://www.com-idep.fr/', 'https://uniic.org/nos-services/communication-edition/acteurs-graphiques/']"
9,084.23,Emballage,"[""CNE - Conseil National de l'Emballage"", ""ELIPSO - Entreprises de l'emballage plastique et souple"", ""SEILA - Syndicat de l'emballage Industriel"", ""SNFBM - Syndicat National des Fabricants d'Emballages Métalliques""]","['https://conseil-emballage.org/', 'https://www.elipso.org/', 'https://www.seila.fr/', 'https://www.snfbm.fr/']"
