,bnf_codes,bnf_names,web_sites_description,web_sites
0,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://devenirpaysan-idf.org/
1,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://afpf-asso.fr/
2,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,http://www.agencebio.org/
3,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://agreste.agriculture.gouv.fr/agreste-web/
4,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.agroforesterie.fr/
5,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.franceagrimer.fr/
6,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,http://www.chambres-agriculture.fr
7,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://unctad.org/fr/node/2890
8,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.lacooperationagricole.coop/
9,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.ethic-ocean.org
10,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.agriculturepaysanne.org/
11,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.fao.org/faostat/fr/
12,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://idele.fr/domaines-dexpertise/economie
13,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.ifce.fr/
14,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.inao.gouv.fr/
15,084.11,"Agriculture, sylviculture, pêche, élevage",Abiosol,https://www.repertoireinstallation.com/
16,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://devenirpaysan-idf.org/
17,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://afpf-asso.fr/
18,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,http://www.agencebio.org/
19,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://agreste.agriculture.gouv.fr/agreste-web/
20,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.agroforesterie.fr/
21,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.franceagrimer.fr/
22,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,http://www.chambres-agriculture.fr
23,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://unctad.org/fr/node/2890
24,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.lacooperationagricole.coop/
25,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.ethic-ocean.org
26,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.agriculturepaysanne.org/
27,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.fao.org/faostat/fr/
28,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://idele.fr/domaines-dexpertise/economie
29,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.ifce.fr/
30,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.inao.gouv.fr/
31,084.11,"Agriculture, sylviculture, pêche, élevage",AFPF,https://www.repertoireinstallation.com/
