,sous_classe,intitule_naf_rev_2,classe,groupe,A_129,division,A_64,A_38,A_17,A_10
0,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",1.11,1.1,A01Z,1,AZ1,AZ,AZ,AZ
1,0112Z,Culture du riz,1.12,1.1,A01Z,1,AZ1,AZ,AZ,AZ
2,0113Z,"Culture de légumes, de melons, de racines et de tubercules",1.13,1.1,A01Z,1,AZ1,AZ,AZ,AZ
3,0114Z,Culture de la canne à sucre,1.14,1.1,A01Z,1,AZ1,AZ,AZ,AZ
4,0115Z,Culture du tabac,1.15,1.1,A01Z,1,AZ1,AZ,AZ,AZ
5,0116Z,Culture de plantes à fibres,1.16,1.1,A01Z,1,AZ1,AZ,AZ,AZ
6,0119Z,Autres cultures non permanentes,1.19,1.1,A01Z,1,AZ1,AZ,AZ,AZ
7,0121Z,Culture de la vigne,1.21,1.2,A01Z,1,AZ1,AZ,AZ,AZ
8,0122Z,Culture de fruits tropicaux et subtropicaux,1.22,1.2,A01Z,1,AZ1,AZ,AZ,AZ
9,0123Z,Culture d'agrumes,1.23,1.2,A01Z,1,AZ1,AZ,AZ,AZ
10,0124Z,Culture de fruits à pépins et à noyau,1.24,1.2,A01Z,1,AZ1,AZ,AZ,AZ
11,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,1.25,1.2,A01Z,1,AZ1,AZ,AZ,AZ
12,0126Z,Culture de fruits oléagineux,1.26,1.2,A01Z,1,AZ1,AZ,AZ,AZ
13,0127Z,Culture de plantes à boissons,1.27,1.2,A01Z,1,AZ1,AZ,AZ,AZ
14,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1.28,1.2,A01Z,1,AZ1,AZ,AZ,AZ
15,0129Z,Autres cultures permanentes,1.29,1.2,A01Z,1,AZ1,AZ,AZ,AZ
16,0130Z,Reproduction de plantes,1.3,1.3,A01Z,1,AZ1,AZ,AZ,AZ
17,0141Z,Élevage de vaches laitières,1.41,1.4,A01Z,1,AZ1,AZ,AZ,AZ
18,0142Z,Élevage d'autres bovins et de buffles,1.42,1.4,A01Z,1,AZ1,AZ,AZ,AZ
19,0143Z,Élevage de chevaux et d'autres équidés,1.43,1.4,A01Z,1,AZ1,AZ,AZ,AZ
20,0144Z,Élevage de chameaux et d'autres camélidés,1.44,1.4,A01Z,1,AZ1,AZ,AZ,AZ
21,0145Z,Élevage d'ovins et de caprins,1.45,1.4,A01Z,1,AZ1,AZ,AZ,AZ
22,0146Z,Élevage de porcins,1.46,1.4,A01Z,1,AZ1,AZ,AZ,AZ
23,0147Z,Élevage de volailles,1.47,1.4,A01Z,1,AZ1,AZ,AZ,AZ
24,0149Z,Élevage d'autres animaux,1.49,1.4,A01Z,1,AZ1,AZ,AZ,AZ
25,0150Z,Culture et élevage associés,1.5,1.5,A01Z,1,AZ1,AZ,AZ,AZ
26,0161Z,Activités de soutien aux cultures,1.61,1.6,A01Z,1,AZ1,AZ,AZ,AZ
27,0162Z,Activités de soutien à la production animale,1.62,1.6,A01Z,1,AZ1,AZ,AZ,AZ
28,0163Z,Traitement primaire des récoltes,1.63,1.6,A01Z,1,AZ1,AZ,AZ,AZ
29,0164Z,Traitement des semences,1.64,1.6,A01Z,1,AZ1,AZ,AZ,AZ
30,0170Z,"Chasse, piégeage et services annexes",1.7,1.7,A01Z,1,AZ1,AZ,AZ,AZ
31,0210Z,Sylviculture et autres activités forestières,2.1,2.1,A02Z,2,AZ2,AZ,AZ,AZ
32,0220Z,Exploitation forestière,2.2,2.2,A02Z,2,AZ2,AZ,AZ,AZ
33,0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,2.3,2.3,A02Z,2,AZ2,AZ,AZ,AZ
34,0240Z,Services de soutien à l'exploitation forestière,2.4,2.4,A02Z,2,AZ2,AZ,AZ,AZ
35,0311Z,Pêche en mer,3.11,3.1,A03Z,3,AZ3,AZ,AZ,AZ
36,0312Z,Pêche en eau douce,3.12,3.1,A03Z,3,AZ3,AZ,AZ,AZ
37,0321Z,Aquaculture en mer,3.21,3.2,A03Z,3,AZ3,AZ,AZ,AZ
38,0322Z,Aquaculture en eau douce,3.22,3.2,A03Z,3,AZ3,AZ,AZ,AZ
39,0510Z,Extraction de houille,5.1,5.1,B05Z,5,BZ0,BZ,DE,BE
40,0520Z,Extraction de lignite,5.2,5.2,B05Z,5,BZ0,BZ,DE,BE
41,0610Z,Extraction de pétrole brut,6.1,6.1,B06Z,6,BZ0,BZ,DE,BE
42,0620Z,Extraction de gaz naturel,6.2,6.2,B06Z,6,BZ0,BZ,DE,BE
43,0710Z,Extraction de minerais de fer,7.1,7.1,B07Z,7,BZ0,BZ,DE,BE
44,0721Z,Extraction de minerais d'uranium et de thorium,7.21,7.2,B07Z,7,BZ0,BZ,DE,BE
45,0729Z,Extraction d'autres minerais de métaux non ferreux,7.29,7.2,B07Z,7,BZ0,BZ,DE,BE
46,0811Z,"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise",8.11,8.1,B08Z,8,BZ0,BZ,DE,BE
47,0812Z,"Exploitation de gravières et sablières, extraction d'argiles et de kaolin",8.12,8.1,B08Z,8,BZ0,BZ,DE,BE
48,0891Z,Extraction des minéraux chimiques et d'engrais minéraux,8.91,8.9,B08Z,8,BZ0,BZ,DE,BE
49,0892Z,Extraction de tourbe,8.92,8.9,B08Z,8,BZ0,BZ,DE,BE
50,0893Z,Production de sel,8.93,8.9,B08Z,8,BZ0,BZ,DE,BE
51,0899Z,Autres activités extractives n.c.a.,8.99,8.9,B08Z,8,BZ0,BZ,DE,BE
52,0910Z,Activités de soutien à l'extraction d'hydrocarbures,9.1,9.1,B09Z,9,BZ0,BZ,DE,BE
53,0990Z,Activités de soutien aux autres industries extractives,9.9,9.9,B09Z,9,BZ0,BZ,DE,BE
54,1011Z,Transformation et conservation de la viande de boucherie,10.11,10.1,C10A,10,CA0,CA,C1,BE
55,1012Z,Transformation et conservation de la viande de volaille,10.12,10.1,C10A,10,CA0,CA,C1,BE
56,1013A,Préparation industrielle de produits à base de viande,10.13,10.1,C10A,10,CA0,CA,C1,BE
57,1013B,Charcuterie,10.13,10.1,C10A,10,CA0,CA,C1,BE
