,denomination,siren,avg_workforce,revenue,depre_amort,operating_income,convert_bonds,other_bonds,loans_less_1yr,loans_more_1yr,other_loans,debts_to_group,commit_mov_prop,commit_immov_prop,bills_exch,cash,market_security
0,ELECTRICITE DE FRANCE,552081317,62035.0,53001000.0,4363000.0,2567000.0,0.0,47572000.0,1391000.0,0.0,8535000.0,0.0,0.0,0.0,0.0,8397000.0,13134000.0
1,SYXPERIANE,497541599,53.0,7917.71,36.82,1896.002,0.0,0.0,0.0,10.133000000000001,0.0,321.88,0.0,0.0,0.0,1393.2250000000001,1400.0
2,GD REAUMUR,814116612,153.0,7911.101000000001,0.0,338.325,0.0,0.0,0.0,0.0,0.0,779.826,0.0,0.0,0.0,764.3770000000001,0.0
3,LES TRESORS DE GAMBRINUS,439430364,-1.0,7909.862,73.17,242.812,0.0,0.0,0.0,4.013,87.41,4.642,0.0,0.0,0.0,360.71500000000003,0.0
4,CLIM DENFERT - BOURQUIN,349349282,-1.0,7907.752,87.766,108.57300000000001,0.0,0.0,1040.18,0.0,511.695,0.0,0.0,0.0,0.0,465.177,0.0
5,ACTIMAGE CONSULTING,479557894,-1.0,7907.671,146.34,262.9,0.0,0.0,854.6850000000001,0.0,1.907,0.0,0.0,0.0,0.0,6440.1810000000005,0.0
6,ENERGIE DU PORCIEN,493444426,-1.0,7907.251,1576.968,4239.91,0.0,0.0,0.0,0.0,37313.831,0.0,0.0,0.0,0.0,80.688,0.0
7,SNC ALTA CRP AUBERGENVILLE,451226328,-1.0,7907.009,2007.766,2852.551,0.0,0.0,0.0,0.0,1427.013,44986.403,0.0,0.0,0.0,1.8880000000000001,0.0
8,DOM'HESTIA PROMOTION,538048265,-1.0,7904.385,0.0,350.3,0.0,0.0,0.0,5442.727,0.0,3051.065,0.0,0.0,0.0,-1.0,-1.0
9,BISIMPEX INT'L,414946822,-1.0,7903.534000000001,0.929,190.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.221,0.0
10,A&F INVEST,538418484,-1.0,7902.0,4.91,635.721,0.0,0.0,500.0,0.0,0.0,1222.505,0.0,0.0,0.0,478.2,0.0
11,OFFICE DU FONCTIONNEL,330929662,32.0,7901.515,315.372,172.125,0.0,0.0,1056.403,769.631,117.669,0.396,269.78000000000003,0.0,0.0,1260.42,0.0
12,ENVIRONNEMENT SOLUTIONS PARTENAIRES,479023319,-1.0,7899.771,13.441,633.28,0.0,0.0,2.529,0.0,0.0,0.0,0.0,0.0,0.0,1875.169,0.045
13,JULES LEFEBVRE SAS,513700245,-1.0,7890.928,1796.4750000000001,5653.06,0.0,0.0,2.65,0.0,18.942,43011.157,0.0,0.0,0.0,3512.0260000000003,0.0
14,SOC IMMOBILIERE DU PALAIS DES CONGRES,712029214,-1.0,7889.241,5755.559,-1723.111,0.0,0.0,0.186,41474.129,3.9,178502.435,0.0,0.0,0.0,45980.026,15000.0
15,2BDM,513437046,-1.0,7887.545,61.969,400.93600000000004,0.0,0.0,2.682,1259.8410000000001,0.0,126.413,0.0,0.0,0.0,804.808,0.0
16,EPISTEMA,433698032,55.0,7885.28,798.261,566.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.979,0.0
17,BOILLON CONSULTANTS,339598807,-1.0,7882.506,6.867,1368.814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
18,K-MART,492408638,-1.0,7875.307,92.291,282.077,0.0,0.0,0.0,28.939,0.0,100.973,0.0,0.0,0.0,417.988,87.785
19,CONSTELLIUM INTERNATIONAL,832509418,-1.0,7875.285,0.0,-173.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,SURESNES IMMOBILIER,430104232,-1.0,7874.595,2233.373,3839.6730000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3382.088,0.0
21,PERRIER PRESTIGE,478341266,3.0,7871.928,7.394,805.524,0.0,0.0,0.0,1.856,22.733,0.0,0.0,0.0,0.0,2304.725,0.0
22,CABINET REMY LE BONNOIS,438406837,21.0,7863.795,90.179,1334.679,0.0,0.0,1.177,119.935,0.0,584.783,0.0,0.0,0.0,429.225,18.837
23,COVED MANAGEMENT,828692293,-1.0,7861.009,0.0,-0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
24,NEWLODE GROUP,812425643,-1.0,7856.086,41.92,505.51300000000003,0.0,0.0,48.08,1317.615,0.0,0.0,0.0,0.0,0.0,1630.704,0.0
25,YUVA,487651085,21.0,7855.825,45.327,-1124.334,0.0,0.0,1.447,400.0,0.0,40.192,0.0,0.0,0.0,854.7040000000001,251.875
26,ODYSSEY MESSAGING,421839564,-1.0,7855.384,21.148,324.331,0.0,0.0,120.46300000000001,0.0,0.0,0.0,0.0,0.0,0.0,500.79900000000004,0.0
27,BOUCHERIE CHARCUTERIE FINE BUCHINGER,578503393,-1.0,7855.362,64.839,787.11,0.0,0.0,63.699,1200.0,0.0,123.589,0.0,0.0,0.0,2293.337,25.474
28,ISOTRADING,497750794,-1.0,7854.179,21.083000000000002,1327.705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.236,368.395
29,APOTHICOM DISTRIBUTION,501839971,10.0,7845.82,213.885,1378.748,0.0,0.0,0.0,51.094,21.215,0.0,0.0,0.0,0.0,2467.578,18.084
30,THES DE LA PAGODE,428815310,-1.0,7843.091,51.414,42.596000000000004,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.991,0.0
31,BEATRICE DE PARIS,419877931,-1.0,7837.686000000001,0.0,-8.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
32,EXPERTAM,411798622,65.0,7835.225,115.197,708.732,0.0,0.0,1154.119,0.0,11.135,0.0,0.0,0.0,0.0,1963.1390000000001,0.0
33,SECREDIS,810459297,30.0,7831.244000000001,222.072,27.153000000000002,0.0,0.0,2.336,429.075,0.0,0.0,0.0,0.0,0.0,323.942,0.0
34,PARISUD IMMOBILIER,489883660,-1.0,7827.871,46.252,609.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.74200000000002,0.08
35,LEARNINGSHELTER,752946863,77.0,7827.436000000001,197.775,-1685.1100000000001,0.0,0.0,0.04,1007.5,0.0,0.0,0.0,0.0,0.0,7647.589,0.0
36,EBAY FRANCE,432778108,26.0,7826.992,542.432,619.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7981.67,0.0
37,GENERATION 5,388456485,-1.0,7826.185,83.858,422.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
38,ARTEMIDE FRANCE,438277865,21.0,7824.999,16.689,56.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,0.0
39,CONTANGO TRADING SA,434211843,-1.0,18213665.587,0.0,48035.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87854.683,3651.732
40,SAS D'ARCHITECTURE HARDEL ET LE BIHAN,488428731,-1.0,7824.725,103.174,3050.843,0.0,0.0,0.0,1257.347,2.485,0.0,0.0,0.0,0.0,5021.685,17.938
41,OAKLEN CONSULTING,439455890,-1.0,7822.7480000000005,0.724,-78.997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,992.899,0.0
42,ITM ALIMENTAIRE INTERNATIONAL,341192227,901.0,16856692.433000002,36560.734000000004,-30040.232,0.0,0.0,6501.133,0.0,486574.827,1.189,0.0,0.0,0.0,8096.462,0.0
43,DECORSE INSULATING -DI,523586295,-1.0,7820.49,40.799,234.36700000000002,0.0,0.0,0.0,11.725,0.0,0.0,0.0,0.0,0.0,700.101,150.0
44,AU PIED DE COCHON,302971668,84.0,7817.028,85.828,1307.674,0.0,0.0,0.0,0.0,0.0,404.103,0.0,0.0,0.0,71.911,0.0
45,MOTT MACDONALD FRANCE,523138758,42.0,7810.446,23.899,161.585,0.0,0.0,0.0,0.0,0.0,42.009,0.0,0.0,0.0,1329.347,0.0
46,GBS,342710381,1.0,7807.217000000001,39.153,1397.6200000000001,-1.0,-1.0,0.0,0.0,-1.0,0.666,0.0,0.0,5091.575,689.726,427.801
47,LA POSTE,356000000,-1.0,11134000.0,7717000.0,-107000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2910000.0
48,ARADIO GROUP,443085022,-1.0,7806.876,48.824,698.766,0.0,0.0,0.0,1677.645,1.0,0.0,0.0,0.0,0.0,909.669,0.14400000000000002
49,CIRPACK,538064627,-1.0,7806.034000000001,632.787,1784.582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822.5,300.0
50,DUNES,409793403,-1.0,7803.374,50.458,-1080.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.077,0.0
51,SOCIETE FONCIERE DE LA PLACE VENDOME,572053395,-1.0,7801.367,517.152,5431.679,0.0,0.0,0.0,98250.0,516.441,1494.799,0.0,0.0,0.0,3.462,0.0
52,40 RUE DU COLISEE TENANT SAS,819699711,-1.0,7796.633,977.4300000000001,-304.45,0.0,0.0,0.0,0.0,1251.324,3673.1620000000003,0.0,0.0,0.0,0.0,0.0
53,LABORATOIRES CINQ MONDES,435296470,-1.0,7795.298,155.881,-1200.43,0.0,0.0,0.748,347.209,5012.554,0.0,0.0,0.0,0.0,1039.604,0.0
54,SARCELLES LOT 16,820774537,-1.0,7791.649,0.0,351.901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
55,AMOREPACIFIC EUROPE,379384225,7.0,7790.561000000001,2.986,90.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2518.61,0.0
56,TISSIUM,793166299,-1.0,7786.66,1176.373,-9623.073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59046.54,0.0
57,SUN'R INFRASTRUCTURE,512517442,-1.0,7786.534000000001,2259.414,4733.573,0.0,0.0,0.0,0.0,0.0,23065.003,0.0,0.0,0.0,6403.676,0.0
58,AD BEAUTY,485205520,39.0,7781.213,20.384,275.17900000000003,0.0,0.0,0.0,3.815,0.0,0.0,0.0,0.0,0.0,355.89,0.0
59,IDEACTIF ARNAUD PEYROLES ET ASSOCIES,383960770,-1.0,7779.509,202.588,794.516,0.0,0.0,1106.402,2197.138,0.0,60.226,0.0,0.0,0.0,0.0,0.0
60,LE PETIT PATRON,752289298,-1.0,7768.253000000001,20.014,357.644,0.0,0.0,39.318,634.615,4.59,31.237000000000002,0.0,0.0,0.0,987.994,16.925
61,L'ECOLE VAN CLEEF & ARPELS,433901485,21.0,7767.136,126.72,293.199,0.0,0.0,2.85,0.0,0.0,997.234,0.0,0.0,0.0,1.3880000000000001,0.0
62,SOLFI INFRASTRUCTURE,501219489,-1.0,7766.95,7.078,65.643,0.0,0.0,53.611000000000004,375.834,0.0,0.68,0.0,0.0,0.0,234.60500000000002,0.0
63,SOCIETE ANONYME D'EXPLOITATION DU PALAIS OMNISPORTS DE PARIS-BERCY,326433117,94.0,7754.718,7354.581,-10748.081,0.0,0.0,0.0,121993.31,0.0,0.0,0.0,0.0,0.0,29729.036,0.0
64,CARENE ASSURANCES,652044249,57.0,7751.934,188.28,393.00100000000003,0.0,0.0,3.3000000000000003,0.0,335.833,0.0,0.0,0.0,0.0,6597.83,300.0
65,RANGER,450246517,403.0,7750.435,32.783,569.017,0.0,0.0,77.97200000000001,0.0,510.942,0.0,0.0,0.0,0.0,310.502,83.233
66,NEREIDES DISTRIBUTION,400260386,-1.0,7749.332,407.942,233.668,0.0,0.0,0.0,1940.056,141.71,1616.682,0.0,0.0,0.0,990.254,0.0
67,CORPORATE VALUE ASSOCIATES FRANCE,788655942,-1.0,7748.59,192.092,-18.035,0.0,0.0,0.0,0.0,2380.344,0.0,0.0,0.0,0.0,1674.806,0.0
68,SAINT JEAN,451417208,-1.0,7746.234,5361.006,454.795,0.0,0.0,0.0,0.0,1828.828,146916.766,0.0,0.0,0.0,30.661,0.0
69,MONTRE SERVICE,381515857,106.0,7743.62,262.03000000000003,75.389,0.0,0.0,0.0,0.0,1250.734,191.249,6.995,0.0,0.0,1349.348,0.0
70,COMPUTER ENGINEERING,381954841,-1.0,7737.046,52.22,280.91,0.0,0.0,500.0,0.0,3.0,180.14600000000002,0.0,0.0,0.0,825.498,700.0
71,HENRY,509925608,3.0,7730.782,20.586000000000002,606.1320000000001,0.0,0.0,14.652000000000001,0.0,0.0,0.0,0.0,0.0,0.0,678.471,0.0
72,FROMAGERIE SAINT CHARLES,419298963,-1.0,7729.584,142.236,255.393,0.0,0.0,0.0,603.295,0.0,0.0,0.0,0.0,0.0,132.649,0.0
73,NEW MADISON,452626617,-1.0,7728.941,50.862,-1776.824,0.0,0.0,0.0,1220.308,0.0,0.0,0.0,0.0,0.0,2353.007,0.0
