,denomination,siren,naf2_code,avg_workforce,size_group,revenue_10m,op_inc_percent,dep_percent,borrowed,rentals,cash_percent,secure_investment_percent
0,ELECTRICITE DE FRANCE,552081317,3511Z,62035.0,q10,5300.1,0.04843304843304843,0.08231920152449954,1.084847455708383,0.0,0.15843097300050943,0.24780664515763853
1,SYXPERIANE,497541599,6202A,53.0,q7,0.791771,0.23946343071418377,0.00465033450328441,0.041932957888076224,0.0,0.17596312570174963,0.1768188024062513
2,GD REAUMUR,814116612,7010Z,153.0,q9,0.7911101,0.04276585522040484,0.0,0.09857363722192397,0.0,0.09662081169232956,0.0
3,LES TRESORS DE GAMBRINUS,439430364,4634Z,-1.0,,0.7909862,0.0306973749984513,0.0092504774419579,0.012144965360963314,0.0,0.04560319762847949,0.0
4,CLIM DENFERT - BOURQUIN,349349282,4322B,-1.0,,0.7907752,0.013729944995745947,0.011098729449279643,0.19624730264682047,0.0,0.05882544116203948,0.0
5,ACTIMAGE CONSULTING,479557894,6202A,-1.0,,0.7907671000000001,0.03324619853304468,0.018506080994012016,0.10832418293578477,0.0,0.8144219707673727,0.0
6,ENERGIE DU PORCIEN,493444426,3511Z,-1.0,,0.7907251000000001,0.5362053133257058,0.19943315319066007,4.718938478113317,0.0,0.010204304884213236,0.0
7,SNC ALTA CRP AUBERGENVILLE,451226328,6820B,-1.0,,0.7907009,0.3607623312430781,0.2539223112051599,5.869908077757342,0.0,0.00023877549652466567,0.0
8,DOM'HESTIA PROMOTION,538048265,4110A,-1.0,,0.7904385,0.04431717331582406,0.0,1.0745670915574075,0.0,-1.0,-0.0001265120562826836
9,BISIMPEX INT'L,414946822,4649Z,-1.0,,0.7903534000000001,0.02409086871771539,0.00011754235510342588,0.0,0.0,0.0317859074181246,0.0
10,A&F INVEST,538418484,6810Z,-1.0,,0.7902,0.08045064540622628,0.0006213616805871931,0.21798342191850165,0.0,0.060516324981017465,0.0
11,OFFICE DU FONCTIONNEL,330929662,2599A,32.0,q5,0.7901515,0.02178379715788681,0.039912852155567634,0.24604129714364906,0.03414281944665042,0.1595162446695349,0.0
12,ENVIRONNEMENT SOLUTIONS PARTENAIRES,479023319,4676Z,-1.0,,0.7899771,0.08016434906784006,0.001701441725336089,0.00032013586216613117,0.0,0.23737004528359115,5.696367654201622e-06
13,JULES LEFEBVRE SAS,513700245,6820B,-1.0,,0.7890928,0.7163998961845807,0.22766333693578247,5.453445906489072,0.0,0.445071352824408,0.0
14,SOC IMMOBILIERE DU PALAIS DES CONGRES,712029214,6820B,-1.0,,0.7889241,-0.2184127725341386,0.7295453390256427,27.883626574470217,0.0,5.828193865544226,1.9013235874021341
15,2BDM,513437046,7111Z,-1.0,,0.7887545,0.05083153249838829,0.007856563734343196,0.17609230755577307,0.0,0.10203529742144102,0.0
16,EPISTEMA,433698032,5829C,55.0,q7,0.788528,0.07190410486374613,0.10123432522370797,0.0,0.0,0.02650241969847615,0.0
17,BOILLON CONSULTANTS,339598807,6810Z,-1.0,,0.7882506,0.17365213550107034,0.0008711696508699137,-0.0007611792493402478,-0.0002537264164467493,-1.0,0.0
18,K-MART,492408638,4729Z,-1.0,,0.7875307,0.03581790525753472,0.011719035207135417,0.01649611881797116,0.0,0.05307577215719971,0.011146867036421565
19,CONSTELLIUM INTERNATIONAL,832509418,6630Z,-1.0,,0.7875285,-0.022052916180176338,0.0,0.0,0.0,0.0,0.0
20,SURESNES IMMOBILIER,430104232,6820B,-1.0,,0.7874595,0.4876026005146932,0.28361750667812125,0.0,0.0,0.42949358030476487,0.0
21,PERRIER PRESTIGE,478341266,4690Z,3.0,q1,0.7871928,0.1023286798354863,0.0009392870463246107,0.0031236312120740944,0.0,0.2927777032513509,0.0
22,CABINET REMY LE BONNOIS,438406837,6910Z,21.0,q3,0.7863795,0.16972454139508977,0.011467618370010917,0.08976518334976942,0.0,0.054582424897902354,0.00239540832384364
23,COVED MANAGEMENT,828692293,3832Z,-1.0,,0.7861009,-7.569002910440632e-05,0.0,0.0,0.0,-1.0,-0.00012721013294858204
24,NEWLODE GROUP,812425643,6209Z,-1.0,,0.7856086,0.06434667339435948,0.005335990466499476,0.1738391102134065,0.0,0.20757206578441223,0.0
25,YUVA,487651085,6202A,21.0,q3,0.7855825,-0.14312105985049312,0.005769858671749943,0.056218029296732044,0.0,0.10879875760979911,0.032062195886491875
26,ODYSSEY MESSAGING,421839564,6190Z,-1.0,,0.7855384,0.041287733355874136,0.002692166290024778,0.015335087374468264,0.0,0.06375232579336669,0.0
27,BOUCHERIE CHARCUTERIE FINE BUCHINGER,578503393,1013A,-1.0,,0.7855362,0.10020034722779167,0.008254107194550678,0.1766039553619553,0.0,0.2919454253031242,0.003242880468143925
28,ISOTRADING,497750794,4652Z,-1.0,,0.7854179,0.16904440298597725,0.002684303477168015,0.0,0.0,0.08253389692289927,0.04690432952954089
29,APOTHICOM DISTRIBUTION,501839971,4646Z,10.0,q2,0.784582,0.17573026146406623,0.027261012870547628,0.009216245083369233,0.0,0.3145086173274432,0.002304921601566184
30,THES DE LA PAGODE,428815310,4637Z,-1.0,,0.7843091,0.0054310220294524186,0.006555323660021285,0.12750075193568453,0.0,0.19635001047418676,0.0
31,BEATRICE DE PARIS,419877931,4638B,-1.0,,0.7837686,-0.0010223680815995945,0.0,0.0,0.0,-1.0,-0.00012758867859722882
32,EXPERTAM,411798622,7120B,65.0,q7,0.7835225,0.09045458171271405,0.014702449514851201,0.14871991550976518,0.0,0.25055298348164856,0.0
33,SECREDIS,810459297,4711D,30.0,q4,0.7831244,0.0034672652263165343,0.02835718054500664,0.05508843805658462,0.0,0.04136533097423602,0.0
34,PARISUD IMMOBILIER,489883660,6810Z,-1.0,,0.7827871,0.07779931478175867,0.005908630839726409,0.0,0.0,0.029987975019005807,1.0219892484176093e-05
35,LEARNINGSHELTER,752946863,8559A,77.0,q7,0.7827436000000001,-0.2152825011919612,0.02526689454886632,0.12871903392119716,0.0,0.9770235106361775,0.0
36,EBAY FRANCE,432778108,7022Z,26.0,q4,0.7826992,0.0790969251022615,0.06930274107856504,0.0,0.0,1.0197621257310598,0.0
37,GENERATION 5,388456485,1039A,-1.0,,0.7826185,0.05392435778096224,0.010715054653065319,0.0,0.0,-1.0,-0.0001277761770262267
38,ARTEMIDE FRANCE,438277865,4647Z,21.0,q3,0.7824999,0.007174441811430263,0.002132779825275377,0.0,0.0,0.002867731995876294,0.0
39,CONTANGO TRADING SA,434211843,6430Z,-1.0,,1821.3665587,0.0026373269439121166,0.0,0.0,0.0,0.004823558584643514,0.00020049407312092206
40,SAS D'ARCHITECTURE HARDEL ET LE BIHAN,488428731,7111Z,-1.0,,0.7824725,0.3898977919351798,0.013185639111917672,0.16100655294595015,0.0,0.6417714360568583,0.002292476732409126
41,OAKLEN CONSULTING,439455890,6202A,-1.0,,0.7822748,-0.01009836952436663,9.255059730928312e-05,0.0,0.0,0.1269245794444612,0.0
42,ITM ALIMENTAIRE INTERNATIONAL,341192227,4617A,901.0,q10,1685.6692433000003,-0.0017820952787387194,0.002168915055270618,0.029251120939640145,0.0,0.0004803114271783071,0.0
43,DECORSE INSULATING -DI,523586295,4671Z,-1.0,,0.782049,0.029968326792822447,0.0052169365346672655,0.0014992666699912664,0.0,0.08952137270171051,0.019180383837841364
44,AU PIED DE COCHON,302971668,5610A,84.0,q8,0.7817028,0.16728531610734923,0.010979620387697217,0.05169522227629222,0.0,0.009199276246675846,0.0
45,MOTT MACDONALD FRANCE,523138758,7022Z,42.0,q6,0.7810446,0.02068831920737945,0.0030598764782446483,0.005378566089567741,0.0,0.17020116392841075,0.0
46,GBS,342710381,4332C,1.0,q1,0.7807217000000001,0.17901641519634973,0.005014975246621171,-0.00029895415997787685,0.0,0.08834466878530467,0.05479558208770167
47,LA POSTE,356000000,5310Z,-1.0,,1113.4,-0.009610202981857373,0.6931022094485361,0.0,0.0,0.0,0.26136159511406504
48,ARADIO GROUP,443085022,7312Z,-1.0,,0.7806876,0.08950648120964134,0.006253974060815107,0.21502134784771781,0.0,0.11652151257429988,1.844527823933671e-05
49,CIRPACK,538064627,6190Z,-1.0,,0.7806034000000001,0.22861570933459935,0.08106382831537756,0.0,0.0,0.23347323365488798,0.03843180800903506
50,DUNES,409793403,4642Z,-1.0,,0.7803374,-0.1384043620105867,0.006466177322783709,0.0,0.0,0.020770118156582012,0.0
51,SOCIETE FONCIERE DE LA PLACE VENDOME,572053395,6820B,-1.0,,0.7801367,0.69624708080007,0.0662899207279955,12.851752776148079,0.0,0.00044376838059278584,0.0
52,40 RUE DU COLISEE TENANT SAS,819699711,7022Z,-1.0,,0.7796633,-0.039048907393742914,0.12536565463578958,0.6316170069823731,0.0,0.0,0.0
53,LABORATOIRES CINQ MONDES,435296470,4775Z,-1.0,,0.7795297999999999,-0.1539941128613685,0.019996798069810803,0.6876595352736997,0.0,0.1333629580293146,0.0
54,SARCELLES LOT 16,820774537,4110A,-1.0,,0.7791649,0.04516386710951687,0.0,0.0,0.0,-1.0,-0.00012834253699056515
